,ID,Gender,Age,Education,Occupation,State,Relationship.Status,Obligation,Obligation2,NEP,Vacation.Behaviour,rest and relax,luxury / be spoilt,do sports,"excitement, a challenge",not exceed planned budget,realise creativity,fun and entertainment,good company,health and beauty,free-and-easy-going,entertainment facilities,not care about prices,life style of the local people,intense experience of nature,cosiness/familiar atmosphere,maintain unspoilt surroundings,everything organised,unspoilt nature/natural landscape,cultural offers,change of surroundings,Income(k$),Expenditure
26,27,Female,26,7.0,professional,VIC,living with a partner,4.366666667,Q4,3.4,3.44,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,28.0,32.0
27,28,Male,42,7.0,manager or administrator,VIC,married,3.333333333,Q1,4.2,1.8,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,28.0,61.0
28,29,Male,27,7.0,professional,VIC,single,3.666666667,Q2,3.6,2.277777778,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,29.0,31.0
29,30,Male,43,8.0,professional,WA,married,3.766666667,Q2,3.466666667,3.142857143,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,29.0,87.0
30,31,Male,41,7.0,manager or administrator,QLD,married,3.7,Q2,3.066666667,2.533333333,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,yes,30.0,4.0
31,32,Female,37,7.0,manager or administrator,VIC,married,4.033333333,Q3,4.266666667,2.933333333,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,30.0,73.0
32,33,Male,38,7.0,manager or administrator,NSW,married,2.933333333,Q1,3.2,2.366666667,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,33.0,4.0
33,34,Female,39,8.0,professional,NSW,single,3.6,Q2,3.666666667,3.366666667,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,33.0,92.0
34,35,Male,22,3.0,Clerical or service worker,ACT,single,4.633333333,Q4,4.4,3.866666667,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,33.0,14.0
35,36,Male,48,8.0,small business owner,QLD,married,3.3,Q1,2.933333333,2.1,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,33.0,81.0
36,37,Male,56,8.0,manager or administrator,NSW,married,3.166666667,Q1,3.133333333,2.233333333,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,34.0,17.0
37,38,Male,70,8.0,professional,NSW,living with a partner,4.0,Q3,3.133333333,2.875,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,34.0,73.0
38,39,Male,25,4.0,manager or administrator,NSW,single,2.266666667,Q1,3.066666667,2.379310345,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,37.0,26.0
39,40,Male,58,4.0,small business owner,NSW,married,3.233333333,Q1,2.866666667,3.0,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,37.0,75.0
40,41,Female,27,8.0,,NSW,living with a partner,3.933333333,Q3,3.533333333,2.352941176,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,38.0,35.0
41,42,Female,25,6.0,professional,NSW,living with a partner,3.766666667,Q2,4.2,3.714285714,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,38.0,92.0
42,43,Male,38,3.0,manager or administrator,QLD,living with a partner,3.733333333,Q2,3.933333333,2.25,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,39.0,36.0
43,44,Female,37,7.0,manager or administrator,SA,living with a partner,3.4,Q2,3.6,1.766666667,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,39.0,61.0
44,45,Male,18,7.0,,QLD,single,3.966666667,Q3,3.733333333,3.157894737,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,39.0,28.0
45,46,Male,35,7.0,professional,NSW,living with a partner,3.833333333,Q3,3.6,2.772727273,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,39.0,65.0
46,47,Female,36,7.0,home-duties,NSW,married,3.866666667,Q3,4.533333333,3.571428571,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,40.0,55.0
47,48,Female,34,4.0,Clerical or service worker,SA,married,3.2,Q1,3.2,2.315789474,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,40.0,47.0
48,49,Female,45,7.0,professional,NSW,married,3.433333333,Q2,3.466666667,2.5,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,40.0,42.0
49,50,Male,69,2.0,manager or administrator,NSW,separated or divorced,3.366666667,Q1,4.333333333,3.074074074,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,40.0,42.0
50,51,Male,28,6.0,manager or administrator,NSW,living with a partner,3.633333333,Q2,2.866666667,3.2,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,42.0,52.0
51,52,Male,28,2.0,manager or administrator,NSW,living with a partner,3.133333333,Q1,3.0,2.652173913,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,42.0,60.0
52,53,Female,32,3.0,manager or administrator,QLD,single,3.7,Q2,3.666666667,3.578947368,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,43.0,54.0
53,54,Male,46,6.0,manager or administrator,NT,living with a partner,4.433333333,Q4,4.0,3.827586207,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,43.0,60.0
54,55,Male,20,7.0,sales,VIC,single,3.833333333,Q3,3.666666667,2.482758621,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,43.0,45.0
55,56,Female,56,8.0,professional,QLD,married,4.2,Q3,4.2,3.615384615,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,43.0,41.0
56,57,Male,57,8.0,professional,VIC,separated or divorced,3.133333333,Q1,2.8,4.444444444,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,44.0,50.0
57,58,Male,64,6.0,retired,NSW,separated or divorced,4.533333333,Q4,4.133333333,3.733333333,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,44.0,46.0
58,59,Female,23,7.0,sales,NSW,living with a partner,3.833333333,Q3,3.866666667,2.633333333,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,46.0,51.0
59,60,Female,62,7.0,Clerical or service worker,SA,living with a partner,3.8,Q2,3.133333333,2.8,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,46.0,46.0
60,61,Male,54,8.0,professional,QLD,married,3.533333333,Q2,3.133333333,3.16,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,46.0,56.0
61,62,Male,68,4.0,retired,VIC,living with a partner,3.466666667,Q2,3.933333333,3.034482759,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,46.0,55.0
62,63,Female,55,2.0,home-duties,NSW,married,3.833333333,Q3,4.6,2.586206897,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,47.0,52.0
63,64,Male,62,7.0,professional,VIC,married,3.833333333,Q3,4.466666667,3.285714286,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,47.0,59.0
64,65,Female,51,7.0,Clerical or service worker,ACT,living with a partner,1.733333333,Q1,2.666666667,3.0,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,48.0,51.0
65,66,Female,60,2.0,home-duties,SA,living with a partner,4.333333333,Q4,3.6,4.117647059,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes,48.0,59.0
66,67,Female,30,7.0,professional,WA,married,3.566666667,Q2,3.866666667,1.866666667,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,48.0,50.0
67,68,Female,62,1.0,home-duties,VIC,married,4.1,Q3,4.0,3.714285714,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,48.0,48.0
68,69,Male,48,1.0,small business owner,NSW,married,3.5,Q2,3.266666667,3.045454545,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,48.0,59.0
69,70,Male,54,1.0,transport worker,NSW,married,3.766666667,Q2,3.933333333,2.566666667,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,48.0,47.0
70,71,Female,34,2.0,small business owner,NSW,married,3.333333333,Q1,2.866666667,2.925925926,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,49.0,55.0
71,72,Female,29,7.0,professional,NSW,married,4.333333333,Q4,3.866666667,2.392857143,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,49.0,42.0
72,73,Male,66,,,QLD,married,3.866666667,Q3,3.8,2.625,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,50.0,49.0
73,74,Female,58,4.0,retired,NSW,married,4.566666667,Q4,3.8,3.066666667,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,50.0,56.0
74,75,Male,36,3.0,professional,WA,married,3.433333333,Q2,3.6,3.32,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,54.0,47.0
75,76,Male,28,6.0,labourer,VIC,single,3.0,Q1,3.4,3.8,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,54.0,54.0
76,77,Male,55,6.0,professional,NSW,separated or divorced,3.8,Q2,3.533333333,1.551724138,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,54.0,53.0
77,78,Female,36,3.0,Clerical or service worker,VIC,living with a partner,4.466666667,Q4,3.733333333,2.846153846,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,54.0,48.0
78,79,Male,33,4.0,manager or administrator,WA,single,3.333333333,Q1,3.4,3.363636364,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,54.0,52.0
79,80,Male,35,8.0,manager or administrator,VIC,single,4.066666667,Q3,3.933333333,3.466666667,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,54.0,42.0
80,81,Male,18,6.0,,NSW,single,4.0,Q3,2.8,2.631578947,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,54.0,51.0
81,82,Male,65,6.0,retired,VIC,married,4.2,Q3,3.666666667,2.653846154,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,54.0,55.0
82,83,Male,25,6.0,labourer,NSW,married,4.0,Q3,3.533333333,2.928571429,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,54.0,41.0
83,84,Female,31,3.0,small business owner,QLD,married,4.566666667,Q4,3.8,3.47826087,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,54.0,44.0
84,85,Female,37,2.0,sales,QLD,married,4.2,Q3,3.266666667,2.3,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,54.0,57.0
85,86,Male,33,6.0,professional,QLD,married,4.133333333,Q3,3.8,2.733333333,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,54.0,46.0
86,87,Male,59,,,WA,married,3.8,Q2,4.133333333,2.966666667,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,57.0,58.0
87,88,Female,64,4.0,transport worker,VIC,widowed,4.5,Q4,3.2,3.083333333,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,57.0,55.0
88,89,Female,35,6.0,home-duties,WA,married,3.266666667,Q1,2.666666667,2.137931034,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,58.0,60.0
89,90,Male,37,2.0,labourer,QLD,married,3.966666667,Q3,3.4,3.214285714,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,58.0,46.0
90,91,Male,76,,professional,Tas,married,3.3,Q1,3.333333333,1.533333333,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,59.0,55.0
91,92,Male,55,8.0,professional,VIC,married,3.166666667,Q1,3.866666667,2.933333333,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,59.0,41.0
92,93,Male,54,8.0,professional,NSW,living with a partner,4.5,Q4,4.4,3.958333333,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,60.0,49.0
93,94,Male,49,1.0,manager or administrator,VIC,married,3.633333333,Q2,3.333333333,2.344827586,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,60.0,40.0
94,95,Female,55,7.0,home-duties,VIC,married,3.266666667,Q1,4.0,2.15,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,60.0,42.0
95,96,Male,63,2.0,retired,NSW,married,3.466666667,Q2,3.333333333,2.157894737,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,60.0,52.0
96,97,Female,69,4.0,retired,VIC,widowed,3.766666667,Q2,4.0,2.75862069,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,60.0,47.0
97,98,Female,46,4.0,professional,NSW,single,4.233333333,Q4,4.266666667,4.125,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,60.0,50.0
98,99,Female,61,2.0,manager or administrator,NSW,separated or divorced,3.833333333,Q3,3.066666667,3.0,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,61.0,42.0
99,100,Male,28,7.0,manager or administrator,NSW,living with a partner,3.733333333,Q2,3.933333333,2.8,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,61.0,49.0
100,101,Female,33,7.0,professional,NSW,single,4.466666667,Q4,3.8,3.266666667,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,62.0,41.0
101,102,Female,30,3.0,Clerical or service worker,VIC,married,3.6,Q2,3.8,3.333333333,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,62.0,48.0
102,103,Male,50,7.0,professional,SA,single,4.033333333,Q3,2.933333333,3.08,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,62.0,59.0
103,104,Male,23,7.0,professional,VIC,single,3.933333333,Q3,4.133333333,2.37037037,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,62.0,55.0
104,105,Female,58,1.0,home-duties,NSW,separated or divorced,4.033333333,Q3,3.066666667,1.733333333,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,62.0,56.0
105,106,Female,35,8.0,professional,WA,married,3.066666667,Q1,3.466666667,,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,62.0,42.0
106,107,Male,22,6.0,sales,VIC,single,2.933333333,Q1,2.333333333,2.652173913,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,63.0,50.0
107,108,Male,39,3.0,tradesperson,QLD,married,3.966666667,Q3,3.933333333,2.866666667,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,63.0,46.0
108,109,Female,35,3.0,professional,NSW,living with a partner,4.2,Q3,3.666666667,2.1,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,63.0,43.0
109,110,Male,21,7.0,sales,NSW,single,3.433333333,Q2,4.133333333,2.148148148,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,63.0,48.0
110,111,Male,62,8.0,professional,VIC,married,3.633333333,Q2,2.933333333,2.571428571,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,63.0,52.0
111,112,Male,24,8.0,professional,NSW,single,3.266666667,Q1,3.4,2.294117647,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,63.0,54.0
112,113,Male,49,4.0,Clerical or service worker,NSW,married,4.1,Q3,3.0,3.576923077,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,64.0,42.0
113,114,Female,41,1.0,sales,SA,married,4.133333333,Q3,4.333333333,3.172413793,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,64.0,46.0
114,115,Male,21,6.0,unemployed,NSW,single,3.6,Q2,4.066666667,2.928571429,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,65.0,48.0
115,116,Male,37,6.0,labourer,SA,married,1.0,Q1,5.0,2.033333333,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,65.0,50.0
116,117,Female,28,6.0,professional,ACT,married,3.966666667,Q3,3.333333333,2.3,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,65.0,43.0
117,118,Male,59,8.0,professional,SA,single,3.866666667,Q3,3.6,1.851851852,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,65.0,59.0
118,119,Male,37,7.0,manager or administrator,NSW,married,3.666666667,Q2,3.733333333,2.727272727,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,67.0,43.0
119,120,Female,31,6.0,Clerical or service worker,NSW,married,3.933333333,Q3,4.266666667,3.227272727,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,67.0,57.0
120,121,Male,59,6.0,retired,NSW,married,4.066666667,Q3,3.4,3.25,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,67.0,56.0
121,122,Female,42,3.0,Clerical or service worker,WA,married,3.133333333,Q1,3.266666667,2.541666667,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,67.0,40.0
122,123,Female,52,2.0,small business owner,ACT,married,4.1,Q3,4.2,2.714285714,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,69.0,58.0
123,124,Female,61,1.0,labourer,WA,separated or divorced,4.733333333,Q4,4.6,3.875,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,69.0,91.0
124,125,Female,60,3.0,home-duties,SA,married,4.366666667,Q4,4.2,3.888888889,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,70.0,29.0
125,126,Male,30,7.0,professional,WA,married,3.833333333,Q3,3.2,2.793103448,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,70.0,77.0
126,127,Female,35,7.0,sales,VIC,single,2.266666667,Q1,3.266666667,2.346153846,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,71.0,35.0
127,128,Male,39,7.0,professional,WA,single,3.066666667,Q1,4.066666667,2.416666667,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,71.0,95.0
128,129,Male,36,8.0,manager or administrator,WA,married,2.0,Q1,2.466666667,1.6,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,71.0,11.0
129,130,Male,25,7.0,professional,NSW,married,3.9,Q3,4.333333333,3.033333333,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,71.0,75.0
130,131,Female,31,1.0,home-duties,VIC,living with a partner,4.3,Q4,3.4,3.0,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,71.0,9.0
131,132,Male,35,8.0,professional,QLD,married,3.766666667,Q2,3.6,1.833333333,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,71.0,75.0
132,133,Male,40,8.0,professional,QLD,married,4.1,Q3,3.933333333,2.866666667,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,72.0,34.0
133,134,Male,58,1.0,retired,QLD,married,4.966666667,Q4,4.266666667,3.678571429,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,72.0,71.0
134,135,Female,65,3.0,retired,NSW,married,2.566666667,Q1,4.466666667,2.0,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,73.0,5.0
135,136,Male,59,4.0,manager or administrator,NSW,married,2.8,Q1,2.6,2.222222222,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,73.0,88.0
