Gender,Age,Education,Income,Income2,Occupation,State,Relationship.Status,Obligation,Obligation2,NEP,Vacation.Behaviour,rest and relax,luxury / be spoilt,do sports,"excitement, a challenge",not exceed planned budget,realise creativity,fun and entertainment,good company,health and beauty,free-and-easy-going,entertainment facilities,not care about prices,life style of the local people,intense experience of nature,cosiness/familiar atmosphere,maintain unspoilt surroundings,everything organised,unspoilt nature/natural landscape,cultural offers,change of surroundings
Male,35,7,"$120,001 to $150,000",>120k,professional,NSW,living with a partner,3.833333333,Q3,3.6,2.772727273,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes
Female,36,7,"$90,001 to $120,000",90-120k,home-duties,NSW,married,3.866666667,Q3,4.533333333,3.571428571,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes
Female,34,4,"$60,001 to $90,000",60-90k,Clerical or service worker,SA,married,3.2,Q1,3.2,2.315789474,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes
Female,45,7,"$60,001 to $90,000",60-90k,professional,NSW,married,3.433333333,Q2,3.466666667,2.5,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes
Male,69,2,"$30,001 to $60,000",30-60k,manager or administrator,NSW,separated or divorced,3.366666667,Q1,4.333333333,3.074074074,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Male,28,6,"$60,001 to $90,000",60-90k,manager or administrator,NSW,living with a partner,3.633333333,Q2,2.866666667,3.2,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes
Male,28,2,"$60,001 to $90,000",60-90k,manager or administrator,NSW,living with a partner,3.133333333,Q1,3,2.652173913,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Female,32,3,"more than $240,001",>120k,manager or administrator,QLD,single,3.7,Q2,3.666666667,3.578947368,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes
Male,46,6,"$30,001 to $60,000",30-60k,manager or administrator,NT,living with a partner,4.433333333,Q4,4,3.827586207,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes
Male,20,7,"$30,001 to $60,000",30-60k,sales,VIC,single,3.833333333,Q3,3.666666667,2.482758621,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes
Female,56,8,NA,NA,professional,QLD,married,4.2,Q3,4.2,3.615384615,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no
Male,57,8,"$60,001 to $90,000",60-90k,professional,VIC,separated or divorced,3.133333333,Q1,2.8,4.444444444,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes
Male,64,6,"$30,001 to $60,000",30-60k,retired,NSW,separated or divorced,4.533333333,Q4,4.133333333,3.733333333,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes
Female,23,7,NA,NA,sales,NSW,living with a partner,3.833333333,Q3,3.866666667,2.633333333,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes
Female,62,7,"$60,001 to $90,000",60-90k,Clerical or service worker,SA,living with a partner,3.8,Q2,3.133333333,2.8,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes
Male,54,8,"$150,001 to $180,000",>120k,professional,QLD,married,3.533333333,Q2,3.133333333,3.16,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no
Male,68,4,"Less than $30,000",<30k,retired,VIC,living with a partner,3.466666667,Q2,3.933333333,3.034482759,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes
Female,55,2,"$90,001 to $120,000",90-120k,home-duties,NSW,married,3.833333333,Q3,4.6,2.586206897,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Male,62,7,"$90,001 to $120,000",90-120k,professional,VIC,married,3.833333333,Q3,4.466666667,3.285714286,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes
Female,51,7,"$30,001 to $60,000",30-60k,Clerical or service worker,ACT,living with a partner,1.733333333,Q1,2.666666667,3,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Female,60,2,"$30,001 to $60,000",30-60k,home-duties,SA,living with a partner,4.333333333,Q4,3.6,4.117647059,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes
Female,30,7,"$90,001 to $120,000",90-120k,professional,WA,married,3.566666667,Q2,3.866666667,1.866666667,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no
Female,62,1,"Less than $30,000",<30k,home-duties,VIC,married,4.1,Q3,4,3.714285714,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes
Male,48,1,NA,NA,small business owner,NSW,married,3.5,Q2,3.266666667,3.045454545,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes
Male,54,1,"$30,001 to $60,000",30-60k,transport worker,NSW,married,3.766666667,Q2,3.933333333,2.566666667,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no
Female,34,2,"$90,001 to $120,000",90-120k,small business owner,NSW,married,3.333333333,Q1,2.866666667,2.925925926,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no
Female,29,7,"$90,001 to $120,000",90-120k,professional,NSW,married,4.333333333,Q4,3.866666667,2.392857143,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes
Male,66,NA,NA,NA,NA,QLD,married,3.866666667,Q3,3.8,2.625,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no
Female,58,4,"$120,001 to $150,000",>120k,retired,NSW,married,4.566666667,Q4,3.8,3.066666667,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes
Male,36,3,"$60,001 to $90,000",60-90k,professional,WA,married,3.433333333,Q2,3.6,3.32,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,28,6,"Less than $30,000",<30k,labourer,VIC,single,3,Q1,3.4,3.8,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes
Male,55,6,"$30,001 to $60,000",30-60k,professional,NSW,separated or divorced,3.8,Q2,3.533333333,1.551724138,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes
Female,36,3,"$90,001 to $120,000",90-120k,Clerical or service worker,VIC,living with a partner,4.466666667,Q4,3.733333333,2.846153846,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Male,33,4,"Less than $30,000",<30k,manager or administrator,WA,single,3.333333333,Q1,3.4,3.363636364,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no
Male,35,8,"more than $240,001",>120k,manager or administrator,VIC,single,4.066666667,Q3,3.933333333,3.466666667,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no
Male,18,6,NA,NA,NA,NSW,single,4,Q3,2.8,2.631578947,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,65,6,"$30,001 to $60,000",30-60k,retired,VIC,married,4.2,Q3,3.666666667,2.653846154,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes
Male,25,6,"$60,001 to $90,000",60-90k,labourer,NSW,married,4,Q3,3.533333333,2.928571429,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes
Female,31,3,"$60,001 to $90,000",60-90k,small business owner,QLD,married,4.566666667,Q4,3.8,3.47826087,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Female,37,2,"$60,001 to $90,000",60-90k,sales,QLD,married,4.2,Q3,3.266666667,2.3,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
Male,33,6,"$60,001 to $90,000",60-90k,professional,QLD,married,4.133333333,Q3,3.8,2.733333333,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
Male,59,NA,NA,NA,NA,WA,married,3.8,Q2,4.133333333,2.966666667,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes
Female,64,4,"Less than $30,000",<30k,transport worker,VIC,widowed,4.5,Q4,3.2,3.083333333,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes
Female,35,6,"$30,001 to $60,000",30-60k,home-duties,WA,married,3.266666667,Q1,2.666666667,2.137931034,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes
Male,37,2,"$60,001 to $90,000",60-90k,labourer,QLD,married,3.966666667,Q3,3.4,3.214285714,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes
Male,76,NA,"$150,001 to $180,000",>120k,professional,Tas,married,3.3,Q1,3.333333333,1.533333333,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Male,55,8,"$120,001 to $150,000",>120k,professional,VIC,married,3.166666667,Q1,3.866666667,2.933333333,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes
Male,54,8,"$150,001 to $180,000",>120k,professional,NSW,living with a partner,4.5,Q4,4.4,3.958333333,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes
Male,49,1,"$90,001 to $120,000",90-120k,manager or administrator,VIC,married,3.633333333,Q2,3.333333333,2.344827586,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no
Female,55,7,"$90,001 to $120,000",90-120k,home-duties,VIC,married,3.266666667,Q1,4,2.15,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes
Male,63,2,"$30,001 to $60,000",30-60k,retired,NSW,married,3.466666667,Q2,3.333333333,2.157894737,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes
Female,69,4,"Less than $30,000",<30k,retired,VIC,widowed,3.766666667,Q2,4,2.75862069,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no
Female,46,4,"Less than $30,000",<30k,professional,NSW,single,4.233333333,Q4,4.266666667,4.125,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes
Female,61,2,"Less than $30,000",<30k,manager or administrator,NSW,separated or divorced,3.833333333,Q3,3.066666667,3,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no
Male,28,7,"Less than $30,000",<30k,manager or administrator,NSW,living with a partner,3.733333333,Q2,3.933333333,2.8,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no
Female,33,7,"$60,001 to $90,000",60-90k,professional,NSW,single,4.466666667,Q4,3.8,3.266666667,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes
Female,30,3,"$60,001 to $90,000",60-90k,Clerical or service worker,VIC,married,3.6,Q2,3.8,3.333333333,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes
Male,50,7,"$60,001 to $90,000",60-90k,professional,SA,single,4.033333333,Q3,2.933333333,3.08,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes
Male,23,7,"$60,001 to $90,000",60-90k,professional,VIC,single,3.933333333,Q3,4.133333333,2.37037037,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Female,58,1,"Less than $30,000",<30k,home-duties,NSW,separated or divorced,4.033333333,Q3,3.066666667,1.733333333,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
Female,35,8,"$60,001 to $90,000",60-90k,professional,WA,married,3.066666667,Q1,3.466666667,NA,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,22,6,"$60,001 to $90,000",60-90k,sales,VIC,single,2.933333333,Q1,2.333333333,2.652173913,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes
Male,39,3,"$60,001 to $90,000",60-90k,tradesperson,QLD,married,3.966666667,Q3,3.933333333,2.866666667,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes
Female,35,3,"$30,001 to $60,000",30-60k,professional,NSW,living with a partner,4.2,Q3,3.666666667,2.1,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,21,7,"$90,001 to $120,000",90-120k,sales,NSW,single,3.433333333,Q2,4.133333333,2.148148148,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes
Male,62,8,"$60,001 to $90,000",60-90k,professional,VIC,married,3.633333333,Q2,2.933333333,2.571428571,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes
Male,24,8,"$120,001 to $150,000",>120k,professional,NSW,single,3.266666667,Q1,3.4,2.294117647,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes
Male,49,4,"$30,001 to $60,000",30-60k,Clerical or service worker,NSW,married,4.1,Q3,3,3.576923077,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes
Female,41,1,"$30,001 to $60,000",30-60k,sales,SA,married,4.133333333,Q3,4.333333333,3.172413793,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes
Male,21,6,"$30,001 to $60,000",30-60k,unemployed,NSW,single,3.6,Q2,4.066666667,2.928571429,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no
Male,37,6,"$60,001 to $90,000",60-90k,labourer,SA,married,1,Q1,5,2.033333333,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Female,28,6,"$60,001 to $90,000",60-90k,professional,ACT,married,3.966666667,Q3,3.333333333,2.3,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no
Male,59,8,"$150,001 to $180,000",>120k,professional,SA,single,3.866666667,Q3,3.6,1.851851852,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Male,37,7,"$150,001 to $180,000",>120k,manager or administrator,NSW,married,3.666666667,Q2,3.733333333,2.727272727,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no
Female,31,6,"$60,001 to $90,000",60-90k,Clerical or service worker,NSW,married,3.933333333,Q3,4.266666667,3.227272727,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
Male,59,6,"$30,001 to $60,000",30-60k,retired,NSW,married,4.066666667,Q3,3.4,3.25,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes
Female,42,3,"$30,001 to $60,000",30-60k,Clerical or service worker,WA,married,3.133333333,Q1,3.266666667,2.541666667,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no
Female,52,2,"$30,001 to $60,000",30-60k,small business owner,ACT,married,4.1,Q3,4.2,2.714285714,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes
Female,61,1,"Less than $30,000",<30k,labourer,WA,separated or divorced,4.733333333,Q4,4.6,3.875,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Female,60,3,"Less than $30,000",<30k,home-duties,SA,married,4.366666667,Q4,4.2,3.888888889,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes
Male,30,7,"$60,001 to $90,000",60-90k,professional,WA,married,3.833333333,Q3,3.2,2.793103448,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes
Female,35,7,"$30,001 to $60,000",30-60k,sales,VIC,single,2.266666667,Q1,3.266666667,2.346153846,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes
Male,39,7,"$30,001 to $60,000",30-60k,professional,WA,single,3.066666667,Q1,4.066666667,2.416666667,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no
Male,36,8,"$90,001 to $120,000",90-120k,manager or administrator,WA,married,2,Q1,2.466666667,1.6,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes
Male,25,7,"$60,001 to $90,000",60-90k,professional,NSW,married,3.9,Q3,4.333333333,3.033333333,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
Female,31,1,"Less than $30,000",<30k,home-duties,VIC,living with a partner,4.3,Q4,3.4,3,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes
Male,35,8,"$60,001 to $90,000",60-90k,professional,QLD,married,3.766666667,Q2,3.6,1.833333333,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes
Male,40,8,"$60,001 to $90,000",60-90k,professional,QLD,married,4.1,Q3,3.933333333,2.866666667,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes
Male,58,1,"Less than $30,000",<30k,retired,QLD,married,4.966666667,Q4,4.266666667,3.678571429,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes
